1, a, north
1, a, east
1, a, north
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
1, b, north
1, b, north
1, b, east
2, b, west
1, b, west
