 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 1, a, north
 => 1, b, north
 => 2, a, north
 => 2, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 5, a, north
 => 5, b, north
 => 1, a, north
 => 1, a, east
 => 1, a, north
 => 1, a, east
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
