1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
1, a, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
4, d, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
4, d, north
4, e, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
4, d, north
4, e, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
4, d, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, north
3, c, north
